Sentence,Sentiment
the govern start the sell-off last month put an percent stake in teliasonera on the auction bloc,neutral
oper profit decreas to eur mn from eur mn,negative
at the same time profit of the compani increas by in h and reach ls,positive
the seminar introduc modern clean technolog and product financi tool and sponsorship program for energi and environ project as well as the potenti to develop clean energi in vietnam,positive
metso expect it net sale to increas by about in at compar exchang rate,positive
the total headcount reduct will be person the compani said,negative
tsla recal model x vehicl share volatil tsla tech stockmarket,negative
saltwaternurs ino can test again in next few day time to take some profit here or hedg with put,negative
finnish aluminium product manufactur nordic aluminium plc omx helsinki noav report on monday august an oper profit of eur m on net sale of eur m for the period january-jun,neutral
scanfil has also issu a profit warn,negative
demand seem to have hit bottom now and some sign of improv can be seen,positive
the compani said that it invest in the new market area result in sale increas in sweden poland russia and lithuania,positive
the recent troubl simpli make netel cheaper,negative
axp look for continu with volum increas,positive
the dismiss staff member will now take the matter to court unless it can be settl outsid,neutral
vrtx earli technic buy signal for confirm it need some fundam incent,positive
updat easyjet passeng number aer lingus traffic up in februari,positive
the launch of the plant in june went well and it has been produc the advanc fuel for a coupl of week,positive
accord to eijken a publish can do much more than just publish colour book a publish can provid valu ad to inform by individualis it,neutral
accord to ceo matti perkonoja of the parent compani hkscan the compani s perform in the first quarter of has remain clear below the level of the correspond period in,negative
global sport equip maker amer sport corp whose brand includ atom salomon and wilson saw a percent increas in third-quart net profit to euro million million on strong sale and cost cut,positive
market share decreas on the rout between helsinki in finland and tallinn in estonia by percentag point to,negative
the compani s net sale in total meur with an oper margin of per cent,neutral
astrazeneca sell caprelsa right to sanofi unit,positive
sanoma magazin intern will invit other sharehold hold approxim of the share to sell their share,neutral
dilut earn per share ep stood at eur versus eur,negative
ingeni hsbc ub and coutt su by tax avoid client,negative
our research show that access to inform technolog has been one of the limit factor for most small busi especi when they work in a heterogen network base environ,neutral
this new represent extend comptel s global presenc to a total of countri serv over custom in over countri worldwid,positive
the organ that is a member of the russian auto sector union mpra has becom activ sinc tikkurila acquir russian paint compani kraski tek in,neutral
the sale will lead to a pretax capit gain of eur million for the finnish compani in,positive
earn per share ep in decreas to eur from eur in,negative
- ing larsen cfo share repres of the share capit,neutral
profit befor tax decreas to eur mn from eur mn the year befor,negative
russian offici inspect the damag and gave the vessel permiss to continu to tallinn at around am the norwegian-regist m-t sten nordic was carri ton of gas oil and was man by a filipino crew,neutral
in stora enso s net loss was eur million compar to eur million in the previous year,negative
finnish broadband data communic system provid telest oyj hel tltv said yesterday it return to a net profit of eur million usd m for the first nine month of versus a net loss of eur for the same period of,positive
oper profit befor non-recur item was eur mn in the first nine month of compar to eur in the correspond period in,negative
furthermor sale of new passeng car and light commerci vehicl in the countri declin by year-on-year last month,neutral
fb dax say bye bye - finish a great yr w plus!,positive
ruukki is restructur commerci and industri construct oper in pursuit of perman improv whilst adjust oper to market condit,neutral
the order includ a log handl line peel line and dri line for the product of parquet base layer veneer for plyfa s hassela mill central sweden,neutral
facebook near a buy point last week face a differ technic test today fb aapl nflx,positive
in the report period ep stood at eur versus eur,neutral
aapl dip be bought up real quick higher low fo sho,positive
oper profit rose from eur mn to eur mn,positive
shire share price under pressur after bn baxalta deal,negative
the compani turnov amount to meur in,neutral
oper loss total eur mn compar to a profit of eur mn in the third quarter of,neutral
howev the net sale declin to eur million from eur billion,negative
base on the calendar year the combin compani had eur bn in pro forma annual revenu and is expect to start oper with employe,neutral
helsinki afx - nokian tyre report a fourth quarter pretax profit of mln eur up from mln on the back of strong sale,positive
belarus oao lidsko pivo breweri base in the grodno region report a decreas in output to million decalit in january-march a repres in the administr of the compani told,negative
merkel govern said to support deutsch boerse-ls merger,positive
also it is bring in the right kind of peopl to upgrad it human resourc,positive
the webcast may be follow onlin on the compani websit at,neutral
helsinki afx - share close higher led by nokia after it announc plan to team up with sanyo to manufactur g handset and by nokian tyre after it fourth-quart earn report beat analyst expect dealer said,positive
the dispos of autotank will also strengthen aspo s capit structur comment gustav nyberg ceo of aspo,positive
jacob has been support storengi s invest of develop storag site sinc as owner s engin,neutral
the most interest export market will be russia the baltic countri and scandinavia,neutral
the reduct notic appli to peopl,neutral
gakrum nice chart show distinct down channel not a dip where do you see the bottom spi,negative
trx long setup macd cross,positive
in million tonn co of eua eu allow emiss credit in eu was trade with an under market valu approx,neutral
long aapl,positive
we are delight to announc our support for intel base handheld platform the capabl of which have made our develop easier and faster,positive
there has been some recoveri of the base metal price and increas demand for metal in china howev,positive
return on capit employ rose by percentag point to,positive
the financi statement releas will be avail after publish on the compani s internet page at,neutral
the group s revenu in amount to eur million and the compani current employ approxim peopl,neutral
finnish cargotec s kalmar has receiv a signific order from the us depart of defens,positive
sinc the associ s data do not cover sale figur from about small local breweri and sale of import beer product the actual market share of it member are smaller than those given in the report,negative
the compani said that the fall in turnov had been plan,negative
the order is includ in metso s fourth quarter order backlog,neutral
the option might includ a partial or total divest of their sharehold in ovako,neutral
compar oper profit decreas to eur mn from eur mn in the correspond period in,neutral
in q of profit befor tax amount to eur mn down from eur mn in q of,negative
dish weak continu again area resist after last week,negative
the depart store divis s sale fell by to eur mn,negative
glaxosmithklin share price slip as fda okay asthma therapi onli for adult,negative
this is a win for all oem target to develop wimax product,positive
sheryl sandberg sell share of facebook inc fb stock via ratingsnetwork,negative
f-secur internet secur is a secur servic for surf the web onlin bank and shop e-mail and other onlin activ,neutral
earn per share ep amount to eur down from eur,negative
net sale of finnish food industri compani lñnnen tehtaat s continu oper increas by in to eur mn from eur mn in,positive
earn per share ep amount to a loss of eur,negative
stx move off the bottom but still in bear market datasecur emc sndk wdc,negative
finnish busi softwar group affectogenimap oyj said it net profit halv to mln euro mln in the first nine month of from mln euro mln in the same period of,negative
after the split the number of k share will be and the number of a share,neutral
russian export duti will activ harvest in finland and sale in russia will increas also,positive
today we are connect peopl in new and differ way - fuse advanc mobil technolog with person servic to enabl peopl to stay close to what matter to them,neutral
return on invest roi was compar to in the first half of,negative
galeria podlaska a shop mall on wysockiego street in bia ystok is approxim -percent leas or reserv,neutral
finnish lift equip maker konecran oyj said on juli that it net profit rose to mln euro mln for the first half of from mln euro mln for the same period of,positive
cramo is a servic compani specialis in construct machineri and equip rental and rental-rel servic as well as the rental and sale of modular space,neutral
jñrvi-suomen portti is also plan to reduc the use of sodium nitrit,neutral
dure the strike finnair estim to incur a net loss of between eurm and eur m per day,negative
deutsch bank cut sbux,negative
typic the transmiss power level can be decreas when the interfer nois is abov a predefin valu,neutral
the plant will be fire with a combin of spruce bark chip log residu or mill peat,neutral
builder persimmon hail rise in hous sale,positive
the engin has an electr output of kw make it the largest gas power generat set in the world,neutral
buyback not trend right cpix spend more as share pricier hope will pull back w q close vwap,negative
tornio work employ of whom more than have been in the scope of the fixed-period or part-tim temporari layoff in april-octob period,neutral
in a separ announc to the helsinki stock exchang atria reveal that the compani s third quarter profit declin from eur m in the third quarter of last year to eur m in this year s q,negative
rost nov call go long until exp imo ! unless european keep fing around !,positive
the lay-off will affect peopl out of the total okmet employe in finland,negative
beef import fell slight from to mn kilo,neutral
at am huhtamaki was the market s biggest faller pct lower at eur while the omx helsinki was pct higher at and the omx helsinki was up pct at,neutral
in lithuania oper profit rose to eur from eur in the correspond period in,positive
net cash flow from oper activ was a negat eur mn compar to eur mn in the correspond period in,negative
product level have been agre with produc a long time ago so a fall in consumpt will lead to loss,negative
okmet has a global custom base and sale network product plant in finland and the us and contract manufactur in japan and china,neutral
a total of new citycon share with a nomin valu of eur per share were subscrib between and march exercis the a-b-c option base on the compani s stock option plan,neutral
new delhi juli -- sahlberg teppo kallio timo and mustonen tuoma of m real oyj espoo finland have develop novel mark and method of produc the same,neutral
accord to a report by neomarkka kuitu finland s custom are interest in buy the compani s product when it restart product,positive
tullow oil suspend dividend amid oil price fall,negative
russia s video intern group hold a control stake in russian media ventur,neutral
custom wave card in front of the reader to make payment similar to touch and go card use in transport system,neutral
gtat will re-ent short on bounc,negative
finnish meat compani atria can no longer promis a suffici amount of domest beef to it custom,negative
ren bottom out again good time to buy,positive
howev the proport of the paid stand order grew in,positive
the tighten competit situat in the product autom market has affect net sale dure cencorp said,neutral
rsa s share close at p at the time of go to press,neutral
rapala aim to move the distribut unit ragot from loudeac in bretagn and the distribut unit waterqueen and the fish line supplier tortu from saint marcel in central franc to morvillar,neutral
term of the acquisit were not disclos,neutral
enbca headshould bullish revers setup and breakout oil and gas piplelin stock uso,positive
i-grid show dia cap for the long term at rang of - ani ralli beyond today level or into this rang lead to meltdown,negative
budapest august mti - finnish electron maker elcoteq will lay off worker at it plant in pec s hungari at the end of septemb becaus of fall order communic director for elcoteq s local unit zoltan krippl told mti on monday,negative
in finland of paper and paperboard is reclaim,neutral
in the bank post a net profit of lt mn,neutral
the carrier said it area travel agenc is to sell most of it outlet to sister chain suomen matkatoimisto smtand use it remain bricks-and-mortar presenc to primarili target busi custom go forward,neutral
fb i guess they want it down look at the those sell order,negative
the percentag of share and vote right have been calcul in proport to the total number of share regist with the trade regist and the total number of vote right relat to them,neutral
salcomp manufactur oy will pay eur million in cash to salcomp in connect with the implement of the sale and transfer of the busi,neutral
februari - finnish broadband data communic system provid telest oyj hel tltv said wednesday it net profit rocket to eur m in from eur in and it lift it dividend propos,positive
antti orkola presid of kemira growhow s industri solut unit told thomson financi news the compani has put off open the mine as price of phosphat have been quit depress for a long time,negative
forest certif is a voluntari system aim at promot sustain forest manag in commerci forest,neutral
earn per share ep amount to a loss of eur,negative
the ea reng group post sale of approxim million kroon for,neutral
in the baltic countri sale fell by and in russia by in term of euro and by in term of local currenc,negative
swedish finnish and danish list compani are organ in three market cap segment nordic larg cap mid cap and small cap,neutral
finnish scanfil a contract manufactur and system supplier for communic and industri electron report net sale of eur mn in the first half of down from eur mn a year earlier,negative
ab inbev latest bid said unlik to win sabmil approv,positive
curat have divid their materi into eight theme,neutral
the fair valu chang of invest properti was eur mn compar to eur mn in the third quarter of,negative
oper profit fell to eur mn from eur mn,negative
finnish m-real s kyro mill is start negoti to cut staff,negative
both oper profit and net sale for the three-month period increas respect from eur m and eurm as compar to the correspond quarter in,positive
